product_id,product_name,price,weight,manufacturing_date,expiry_date
P00043,Fresh Carrots,6.99,0.4,2023-01-27,2024-01-12
P00044,Canned Tomatoes,8.99,0.7,2022-11-27,2023-07-22
P00045,Frozen Chicken Nuggets,19.99,1.3,2024-04-24,2022-11-01
P00046,Fresh Bell Peppers,12.99,0.6,2024-09-23,2023-09-09
P00047,Bottled Iced Tea,14.99,1.2,2024-10-24,2024-01-29
P00048,Frozen Waffles,16.99,0.9,2022-11-08,2024-08-03
P00049,Fresh Cucumbers,7.99,0.5,2024-09-17,2024-04-24
P00050,Canned Pineapple,10.99,0.8,2022-05-31,2022-03-21
P00051,Fresh Zucchini,9.99,0.6,2022-06-29,2024-06-28
P00052,Frozen Blueberries,17.99,1.0,2022-02-02,2024-04-02
P00053,Fresh Broccoli,8.99,0.5,2024-12-22,2023-02-13
P00054,Canned Peaches,11.99,0.7,2024-09-16,2024-08-09
P00055,Fresh Cauliflower,9.99,0.6,2023-11-06,2024-10-18
P00056,Frozen Green Beans,12.99,0.8,2023-01-23,2023-11-25
P00057,Fresh Potatoes,7.99,1.0,2023-05-14,2024-08-13
P00058,Canned Green Beans,9.99,0.7,2024-08-19,2022-09-26
P00059,Fresh Onions,6.99,0.5,2023-05-22,2024-07-16
P00060,Frozen Corn,10.99,0.8,2022-01-23,2024-05-04
P00061,Fresh Garlic,5.99,0.3,2023-10-18,2024-07-04
P00062,Canned Carrots,8.99,0.6,2023-08-10,2022-03-29
P00063,Fresh Lettuce,4.99,0.4,2022-09-25,2022-01-01
P00064,Frozen Peas,11.99,0.7,2024-09-17,2023-10-28
P00065,Fresh Tomatoes,9.99,0.6,2024-11-19,2022-12-14
P00066,Canned Mushrooms,10.99,0.7,2022-04-24,2022-11-10
P00067,Fresh Celery,6.99,0.5,2023-09-09,2022-12-04
P00068,Frozen Spinach,12.99,0.8,2024-12-01,2022-10-20
P00069,Fresh Ginger,7.99,0.3,2022-08-18,2024-09-29
P00070,Frozen Mixed Vegetables,14.99,1.0,2023-12-09,2024-06-08
P00071,Fresh Lemons,8.99,0.4,2024-10-09,2024-07-15
P00072,Fresh Oranges,9.99,0.6,2022-05-23,2024-01-15
P00073,Frozen Broccoli,11.99,0.8,2024-06-01,2023-12-26
P00074,Fresh Apples,10.99,0.7,2024-08-01,2024-07-24
P00075,Fresh Bananas,6.99,0.5,2023-02-05,2022-10-30
P00076,Frozen Cauliflower,12.99,0.8,2024-06-28,2023-03-24
P00077,Fresh Grapes,14.99,0.9,2023-09-26,2023-06-15
P00078,Frozen Brussels Sprouts,13.99,0.8,2022-12-02,2024-09-13
P00079,Fresh Pears,9.99,0.6,2022-09-11,2022-12-18
P00080,Frozen Asparagus,15.99,0.9,2024-11-16,2023-02-26
P00081,Fresh Peaches,11.99,0.7,2023-04-23,2022-08-12
P00082,Frozen Sweet Potatoes,12.99,0.8,2024-02-10,2023-03-05
P00083,Fresh Plums,10.99,0.6,2023-10-19,2023-09-10
P00084,Frozen Butternut Squash,14.99,1.0,2022-02-03,2024-11-01
P00085,Fresh Cherries,16.99,0.7,2023-01-01,2023-02-12
P00086,Frozen Raspberries,18.99,1.0,2023-10-06,2024-12-28
P00087,Fresh Watermelon,12.99,1.5,2024-08-04,2022-06-17
P00088,Frozen Blackberries,15.99,0.9,2024-03-09,2023-10-13
P00089,Fresh Cantaloupe,11.99,1.2,2022-06-04,2024-08-04
P00090,Fresh Pineapple,14.99,1.0,2022-12-11,2022-03-06
P00091,Frozen Mango Chunks,16.99,0.8,2023-12-02,2023-06-07
P00092,Fresh Kiwi,12.99,0.5,2023-06-15,2024-11-30
P00093,Fresh Papaya,13.99,0.7,2022-02-04,2022-04-02
P00094,Frozen Strawberries,14.99,0.9,2023-07-20,2024-06-14
P00095,Fresh Blueberries,17.99,0.6,2022-04-29,2022-02-21
P00096,Frozen Pineapple Chunks,15.99,0.8,2023-06-27,2024-08-03
P00097,Fresh Raspberries,18.99,0.7,2022-06-19,2024-11-16
P00098,Frozen Mixed Berries,19.99,1.0,2024-01-25,2023-01-23
P00099,Fresh Blackberries,16.99,0.6,2023-11-21,2022-11-17
P00100,Fresh Strawberries,14.99,0.5,2023-02-08,2022-11-28
